"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","cx_int_no"
"693602","occ","23263","","74738","Basilosaurus isis","species","53287","","Basilosaurus isis","species","62984","Priabonian","","37.71","33.9","33106","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"693603","occ","23262","","74739","Dorudon atrox","species","53288","","Dorudon atrox","species","62994","Priabonian","","37.71","33.9","33106","Chordata","Mammalia","Cetacea","Basilosauridae","Dorudon","106"
"693604","occ","","","40516","Zeuglodon sp.","genus","53152","objective synonym of","Basilosaurus","genus","36681","Late Eocene","","37.71","33.9","6026","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"693618","occ","","","74740","Prozeuglodon n. sp. stromeri","species","62998","subjective synonym of","Dorudon atrox","species","62994","Priabonian","","37.71","33.9","6026","Chordata","Mammalia","Cetacea","Basilosauridae","Dorudon","106"
"705214","occ","","","75638","n. gen. Basilosaurus n. sp. cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","37.71","33.9","8819","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"715271","occ","","","76685","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","37.71","33.9","25944","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"719665","occ","","","77227","Zeuglodon paulsonii","species","63087","recombined as","Pachycetus paulsonii","species","63087","Priabonian","","37.71","33.9","26143","Chordata","Mammalia","Cetacea","Basilosauridae","Pachycetus","106"
"720789","occ","","","77355","Zeuglodon n. sp. puschii","species","63140","nomen dubium","Basilosaurus","genus","36681","Tertiary","","66","2.58","11981","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","1"
"720866","occ","26470","","77358","Zeuglodon sp.","genus","53152","objective synonym of","Basilosaurus","genus","36681","Bartonian","","41.2","37.71","40307","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","107"
"720891","occ","20175","","77362","Pontogeneus brachyspondylus","species","53289","nomen dubium","Basilosauridae","family","42936","Priabonian","","37.71","33.9","8335","Chordata","Mammalia","Cetacea","Basilosauridae","","106"
"721026","occ","","","75638","n. gen. Pontogeneus n. sp. priscus","species","62981","nomen dubium","Basilosauridae","family","42936","Priabonian","","37.71","33.9","11949","Chordata","Mammalia","Cetacea","Basilosauridae","","106"
"738565","occ","21544","","79346","Basilosaurinae ? indet.","subfamily","53162","","Basilosaurinae","subfamily","53162","Bortonian","Kaiatan","42.6","36.7","29544","Chordata","Mammalia","Cetacea","Basilosauridae","","37"
"740970","occ","","","79676","Dorudon atrox","species","53288","","Dorudon atrox","species","62994","Priabonian","","37.71","33.9","11950","Chordata","Mammalia","Cetacea","Basilosauridae","Dorudon","106"
"740971","occ","","","79677","Basilosaurus isis","species","53287","","Basilosaurus isis","species","62984","Priabonian","","37.71","33.9","11952","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"740972","occ","","","79678","Basilosaurus isis","species","53287","","Basilosaurus isis","species","62984","Priabonian","","37.71","33.9","26772","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"740973","occ","21638","","79679","n. gen. Masracetus n. sp. markgrafi","species","118889","","Masracetus markgrafi","species","118889","Priabonian","","37.71","33.9","26587","Chordata","Mammalia","Cetacea","Basilosauridae","Masracetus","106"
"740974","occ","","","79680","Dorudon atrox","species","53288","","Dorudon atrox","species","62994","Priabonian","","37.71","33.9","8335","Chordata","Mammalia","Cetacea","Basilosauridae","Dorudon","106"
"740975","occ","","","79681","Basilosaurus isis","species","53287","","Basilosaurus isis","species","62984","Priabonian","","37.71","33.9","33106","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"740976","occ","","","79682","Dorudon atrox","species","53288","","Dorudon atrox","species","62994","Priabonian","","37.71","33.9","26775","Chordata","Mammalia","Cetacea","Basilosauridae","Dorudon","106"
"741121","occ","21639","","74740","n. gen. Stromerius n. sp. nidensis","species","118887","","Stromerius nidensis","species","118887","Priabonian","","37.71","33.9","26587","Chordata","Mammalia","Cetacea","Basilosauridae","Stromerius","106"
"741144","occ","","","49919","Saghacetus osiris","species","53293","","Saghacetus osiris","species","62982","Priabonian","","37.71","33.9","26784","Chordata","Mammalia","Cetacea","Basilosauridae","Saghacetus","106"
"741146","occ","","","79698","Zeuglodon n. sp. zitteli","species","62983","subjective synonym of","Saghacetus osiris","species","62982","Priabonian","","37.71","33.9","11951","Chordata","Mammalia","Cetacea","Basilosauridae","Saghacetus","106"
"741147","occ","","","79699","Stromerius nidensis","species","118887","","Stromerius nidensis","species","118887","Priabonian","","37.71","33.9","26587","Chordata","Mammalia","Cetacea","Basilosauridae","Stromerius","106"
"741166","occ","","","79700","Zeuglodon osiris","species","62982","recombined as","Saghacetus osiris","species","62982","Priabonian","","37.71","33.9","26772","Chordata","Mammalia","Cetacea","Basilosauridae","Saghacetus","106"
"741177","occ","","","62468","Dorudon osiris","species","63001","recombined as","Saghacetus osiris","species","62982","Late Eocene","","37.71","33.9","8335","Chordata","Mammalia","Cetacea","Basilosauridae","Saghacetus","106"
"751066","occ","42339","","65135","Basilosauridae ? indet.","family","42936","","Basilosauridae","family","42936","Priabonian","","37.71","33.9","91390","Chordata","Mammalia","Cetacea","Basilosauridae","","106"
"763348","occ","","","81604","Basilosaurus sp.","genus","36681","","Basilosaurus","genus","36681","Bartonian","Priabonian","41.2","33.9","27570","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","37"
"773714","occ","40190","","82994","Pachycetus paulsonii","species","422523","","Pachycetus paulsonii","species","63087","Middle Eocene","Oligocene","47.8","23.03","82775","Chordata","Mammalia","Cetacea","Basilosauridae","Pachycetus","26"
"776806","occ","","","74737","Saghacetus osiris","species","53293","","Saghacetus osiris","species","62982","Priabonian","","37.71","33.9","11951","Chordata","Mammalia","Cetacea","Basilosauridae","Saghacetus","106"
"780217","occ","","","83938","n. gen. Prozeuglodon n. sp. atrox","species","62994","recombined as","Dorudon atrox","species","62994","Priabonian","","37.71","33.9","11955","Chordata","Mammalia","Cetacea","Basilosauridae","Dorudon","106"
"785971","occ","","","84754","Basilosaurus n. sp. kochii","species","63069","recombined as","Zygorhiza kochii","species","63069","Priabonian","","37.71","33.9","11978","Chordata","Mammalia","Cetacea","Basilosauridae","Zygorhiza","106"
"785973","occ","","","83938","Zeuglodon n. sp. intermedius","species","62996","subjective synonym of","Dorudon atrox","species","62994","Priabonian","","37.71","33.9","11956","Chordata","Mammalia","Cetacea","Basilosauridae","Dorudon","106"
"799212","occ","21429","","86948","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","37.71","33.9","8335","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"799213","occ","","","84754","Zeuglodon sp.","genus","53152","objective synonym of","Basilosaurus","genus","36681","Priabonian","","37.71","33.9","29255","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"799214","occ","","","86949","Zeuglodon cetoides","species","63132","recombined as","Basilosaurus cetoides","species","63132","Priabonian","","37.71","33.9","10323","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"805237","occ","","","45041","Zygorhiza ? sp.","genus","36872","","Zygorhiza","genus","36872","Late Eocene","","37.71","33.9","29544","Chordata","Mammalia","Cetacea","Basilosauridae","Zygorhiza","106"
"805238","occ","","","87886","Dorudontinae ? indet.","subfamily","53109","invalid subgroup of","Basilosauridae","family","42936","Priabonian","","37.71","33.9","29544","Chordata","Mammalia","Cetacea","Basilosauridae","","106"
"807744","occ","","","74740","Saghacetus osiris","species","53293","","Saghacetus osiris","species","62982","Priabonian","","37.71","33.9","6026","Chordata","Mammalia","Cetacea","Basilosauridae","Saghacetus","106"
"872449","occ","","","96686","Basilosauridae indet.","family","42936","","Basilosauridae","family","42936","Priabonian","","37.71","33.9","32948","Chordata","Mammalia","Cetacea","Basilosauridae","","106"
"872483","occ","","","96688","Basilosauridae indet.","family","42936","","Basilosauridae","family","42936","Priabonian","","37.71","33.9","32948","Chordata","Mammalia","Cetacea","Basilosauridae","","106"
"874793","occ","23317","","96950","Basilosaurus sp.","genus","36681","","Basilosaurus","genus","36681","Bartonian","","41.2","37.71","33106","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","107"
"874795","occ","","","83938","Basilosaurus isis","species","53287","","Basilosaurus isis","species","62984","Priabonian","","37.71","33.9","33106","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"874797","occ","","","96953","Masracetus markgrafi","species","118889","","Masracetus markgrafi","species","118889","Priabonian","","37.71","33.9","33106","Chordata","Mammalia","Cetacea","Basilosauridae","Masracetus","106"
"874798","occ","","","62468","Zeuglodon n. sp. sensitivus","species","62995","subjective synonym of","Saghacetus osiris","species","62982","Late Eocene","","37.71","33.9","11956","Chordata","Mammalia","Cetacea","Basilosauridae","Saghacetus","106"
"877663","occ","","","90021","n. gen. Supayacetus n. sp. muizoni","species","199245","","Supayacetus muizoni","species","199245","Bartonian","","41.2","37.71","36484","Chordata","Mammalia","Cetacea","Basilosauridae","Supayacetus","107"
"877664","occ","","","90022","n. gen. Ocucajea n. sp. picklingi","species","199247","","Ocucajea picklingi","species","199247","Bartonian","","41.2","37.71","36484","Chordata","Mammalia","Cetacea","Basilosauridae","Ocucajea","107"
"879512","occ","","","97545","Zeuglodon sp.","genus","53152","objective synonym of","Basilosaurus","genus","36681","Bartonian","","41.2","37.71","29185","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","107"
"880084","occ","","","96952","Basilosaurus isis","species","53287","","Basilosaurus isis","species","62984","Priabonian","","37.71","33.9","33316","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"880086","occ","","","96952","Dorudon atrox","species","53288","","Dorudon atrox","species","62994","Priabonian","","37.71","33.9","33316","Chordata","Mammalia","Cetacea","Basilosauridae","Dorudon","106"
"897915","occ","","","75518","Eocetus wardii","species","63151","recombined as","Pachycetus wardii","species","63151","Bartonian","","41.2","37.71","34295","Chordata","Mammalia","Cetacea","Basilosauridae","Pachycetus","107"
"897916","occ","","","7297","Eocetus wardii","species","63151","recombined as","Pachycetus wardii","species","63151","Bartonian","","41.2","37.71","34295","Chordata","Mammalia","Cetacea","Basilosauridae","Pachycetus","107"
"897917","occ","","","99753","Eocetus wardii","species","63151","recombined as","Pachycetus wardii","species","63151","Bartonian","","41.2","37.71","34295","Chordata","Mammalia","Cetacea","Basilosauridae","Pachycetus","107"
"901684","occ","","","100190","Dorudontinae ? indet.","subfamily","53109","invalid subgroup of","Basilosauridae","family","42936","Priabonian","","37.71","33.9","34514","Chordata","Mammalia","Cetacea","Basilosauridae","","106"
