"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","cx_int_no"
"72669","occ","","","5324","Rasmussenoceras variable","species","12587","species not entered","Rasmussenoceras","genus","12587","Ashgill","","449.6","443.8","316","29"
"72761","occ","","","5326","Treptoceras spp.","genus","103258","","Treptoceras","genus","103258","Richmondian","","449.8","446","316","1008"
"73360","occ","","","5346","Orthoceras tyronensis","species","103332","recombined as","Proteoceras tyronensis","species","103332","Rocklandian","","457","449.8","317","29"
"73624","occ","","","5358","Orthoceras sp.","genus","12557","","Orthoceras","genus","12557","Shermanian","","457","449.8","317","29"
"73925","occ","","","5368","Orthoceras sp.","genus","12557","","Orthoceras","genus","12557","Shermanian","","457","449.8","317","29"
"76388","occ","","","5611","Cycloceras randolphensis","species","12485","species not entered","Cycloceras","genus","12485","Serpukhovian","","330.9","323.2","343","53"
"76389","occ","","","5611","Cycloceras n. sp. meeki","species","12485","species not entered","Cycloceras","genus","12485","Serpukhovian","","330.9","323.2","343","53"
"83267","occ","","","5960","Sphaerorthoceras ? sp.","genus","154520","","Sphaerorthoceras","genus","154520","Early Famennian","","372.2","368.5","378","177"
"84376","occ","","","6025","Orthoceras chemungense ?","species","12557","species not entered","Orthoceras","genus","12557","Late Famennian","","365.3","358.9","387","177"
"84437","occ","","","6027","Orthoceras ? sp.","genus","12557","","Orthoceras","genus","12557","Late Famennian","","365.3","358.9","387","177"
"84453","occ","","","6029","Orthoceras minimum","species","12557","species not entered","Orthoceras","genus","12557","Late Famennian","","365.3","358.9","387","177"
"84642","occ","","","6050","Orthoceras n. sp. sp.","genus","12557","","Orthoceras","genus","12557","Late Famennian","","365.3","358.9","387","177"
"84648","occ","","","6053","Orthoceras chemungense ?","species","12557","species not entered","Orthoceras","genus","12557","Late Famennian","","365.3","358.9","387","177"
"84683","occ","","","6064","Orthoceras sollasi","species","12557","species not entered","Orthoceras","genus","12557","Asbian","","340.2","336.3","390","54"
"86999","occ","","","6399","Cycloceras sp.","genus","12485","","Cycloceras","genus","12485","Brigantian","","336.3","330.9","353","54"
"87134","occ","","","6407","Cycloceras sp.","genus","12485","","Cycloceras","genus","12485","Brigantian","","336.3","330.9","353","54"
"89913","occ","","","6706","Kionoceras cf. bellense","species","12529","species not entered","Kionoceras","genus","12529","Ludfordian","","425.6","423","404","184"
"93978","occ","","","7001","Michelinoceras sp.","genus","12542","","Michelinoceras","genus","12542","Meramecian","","343.1","335.8","437","54"
"95989","occ","","","7196","Michelinoceras sp.","genus","12542","","Michelinoceras","genus","12542","Lochkovian","","419.2","410.8","453","183"
"96141","occ","","","7224","Orthoceratidae indet.","family","103321","","Orthoceratidae","family","103321","Famennian","","372.2","358.9","455","177"
"96225","occ","","","7238","Orthoceratidae indet.","family","103321","","Orthoceratidae","family","103321","Famennian","","372.2","358.9","455","177"
"96232","occ","","","7239","Orthoceratidae indet.","family","103321","","Orthoceratidae","family","103321","Famennian","","372.2","358.9","455","177"
"96256","occ","","","7243","Orthoceratidae indet.","family","103321","","Orthoceratidae","family","103321","Famennian","","372.2","358.9","455","177"
"96267","occ","","","7244","Orthoceratidae indet.","family","103321","","Orthoceratidae","family","103321","Famennian","","372.2","358.9","455","177"
"96291","occ","","","7248","Orthoceratidae indet.","family","103321","","Orthoceratidae","family","103321","Famennian","","372.2","358.9","455","177"
"102253","occ","","","8029","cf. Anaspyroceras sp.","genus","12450","","Anaspyroceras","genus","12450","Gorstian","","427.4","425.6","535","185"
"104299","occ","","","8172","Orthoceras teres","species","12557","species not entered","Orthoceras","genus","12557","Pendleian","Arnsbergian","330.9","324","390","53"
"105008","occ","","","8252","Orthoceras spp.","genus","12557","","Orthoceras","genus","12557","Brigantian","","336.3","330.9","568","54"
"105015","occ","","","8253","Orthoceras sp.","genus","12557","","Orthoceras","genus","12557","Pendleian","","330.9","327.4","568","53"
"105025","occ","","","8254","Orthoceras sp.","genus","12557","","Orthoceras","genus","12557","Arnsbergian","","327.4","324","568","53"
"105041","occ","","","8255","Brachycycloceras koninckianum","species","12468","species not entered","Brachycycloceras","genus","12468","Arnsbergian","","327.4","324","568","53"
"105042","occ","","","8255","Brachycycloceras dilatum","species","12468","species not entered","Brachycycloceras","genus","12468","Arnsbergian","","327.4","324","568","53"
"105044","occ","","","8255","Orthoceras martinianum","species","12557","species not entered","Orthoceras","genus","12557","Arnsbergian","","327.4","324","568","53"
