"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","cx_int_no"
"1683658","occ","","","238521","Thursius pholidotus","species","260274","","Thursius pholidotus","species","260274","Givetian","","387.95","382.31","90635","Chordata","Osteichthyes","Osteolepiformes","Thursiidae","Thursius","179"
"1683663","occ","","","238522","Tristichopterus alatus","species","242841","","Tristichopterus alatus","species","242841","Givetian","","387.95","382.31","90635","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","Tristichopterus","179"
"1683668","occ","","","238523","Tristichopterus sp.","genus","242839","","Tristichopterus","genus","242839","Late Givetian","","383.4","382.31","90635","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","Tristichopterus","179"
"1683671","occ","","","238524","Tristichopterus sp.","genus","242839","","Tristichopterus","genus","242839","Early Frasnian","","382.31","379","90635","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","Tristichopterus","178"
"1685101","occ","","","238703","Cryptolepis grossi","species","416110","","Cryptolepis grossi","species","416110","Middle Famennian","","368.5","365.2","90730","Chordata","Osteichthyes","Osteolepiformes","NO_FAMILY_SPECIFIED","Cryptolepis","177"
"1685746","occ","","","238744","Platycephalichthys skuenicus","species","242817","","Platycephalichthys skuenicus","species","242817","Famennian","","372.15","358.86","90802","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","Platycephalichthys","177"
"1685747","occ","","","238744","Cryptolepis sp.","genus","34912","","Cryptolepis","genus","34912","Famennian","","372.15","358.86","90802","Chordata","Osteichthyes","Osteolepiformes","NO_FAMILY_SPECIFIED","Cryptolepis","177"
"1685755","occ","","","238745","Platycephalichthys bischoffi","species","242815","","Platycephalichthys bischoffi","species","242815","Late Frasnian","","375.2","372.15","90803","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","Platycephalichthys","178"
"1685758","occ","","","238747","Platycephalichthys rohoni","species","416100","","Platycephalichthys rohoni","species","416100","Late Devonian","","382.31","358.86","42445","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","Platycephalichthys","56"
"1686179","occ","","","227256","Rhizodopsis rankini","species","503125","","Rhizodopsis rankini","species","503125","Westphalian A","","318.7","316.9","90856","Chordata","Osteichthyes","Osteolepiformes","Megalichthyidae","Rhizodopsis","52"
"1687104","occ","","","238424","Eusthenopteron jenkinsi","species","505014","","Eusthenopteron jenkinsi","species","505014","Early Frasnian","","382.31","379","91064","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","Eusthenopteron","178"
"1687105","occ","","","238424","Tiktaalik roseae","species","77136","","Tiktaalik roseae","species","77136","Early Frasnian","","382.31","379","91064","Chordata","Osteichthyes","Osteolepiformes","Panderichthyidae","Tiktaalik","178"
"1687245","occ","","","239134","Eusthenopteron saevesoederberghi","species","416091","","Eusthenopteron saevesoederberghi","species","416091","Frasnian","","382.31","372.15","45068","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","Eusthenopteron","178"
"1687431","occ","","","239215","Eusthenopteron traquairi","species","416094","subjective synonym of","Heddleichthys dalgleisiensis","species","416095","Frasnian","","382.31","372.15","91112","Chordata","Osteichthyes","Osteolepiformes","Eusthenopteridae","Heddleichthys","178"
"1688314","occ","","","239134","Jarvikina wenjukowi","species","416097","recombined as","Eusthenopteron wenjukowi","species","416092","Frasnian","","382.31","372.15","91241","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","Eusthenopteron","178"
"1688377","occ","","","239413","cf. Eusthenopteron sp.","genus","34918","","Eusthenopteron","genus","34918","Middle Frasnian","Late Frasnian","379","372.15","91249","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","Eusthenopteron","178"
"1688465","occ","","","238737","Langlieria radiatus","species","505011","","Langlieria radiatus","species","505011","Late Famennian","","365.2","358.86","91270","Chordata","Osteichthyes","Osteolepiformes","Eusthenopteridae","Langlieria","177"
"1688466","occ","","","239440","Langlieria smalingi","species","505012","","Langlieria smalingi","species","505012","Frasnian","","382.31","372.15","91271","Chordata","Osteichthyes","Osteolepiformes","Eusthenopteridae","Langlieria","178"
"1688756","occ","","","239487","Eusthenodon leganihanne","species","505164","","Eusthenodon leganihanne","species","505164","Famennian","","372.15","358.86","91290","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","Eusthenodon","177"
"1689036","occ","","","208029","Tristichopteridae indet.","family","209245","","Tristichopteridae","family","209245","Late Famennian","","365.2","358.86","91344","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","","177"
