"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","cx_int_no"
"995343","occ","","","120231","Sassenia tuberculata","species","204784","","Sassenia tuberculata","species","204784","Smithian","","249.9","248.1","38416","Chordata","Coelacanthimorpha","Diplocercidiformes","Sassenidae","Sassenia","652"
"995344","occ","","","120228","Sassenia tuberculata","species","204784","","Sassenia tuberculata","species","204784","Smithian","","249.9","248.1","38416","Chordata","Coelacanthimorpha","Diplocercidiformes","Sassenidae","Sassenia","652"
"995348","occ","","","120231","Axelia robusta","species","204786","","Axelia robusta","species","204786","Smithian","","249.9","248.1","38416","Chordata","Coelacanthimorpha","Coelacanthiformes","Whiteiidae","Axelia","652"
"995349","occ","","","120232","Axelia robusta","species","204786","","Axelia robusta","species","204786","Smithian","","249.9","248.1","38416","Chordata","Coelacanthimorpha","Coelacanthiformes","Whiteiidae","Axelia","652"
"995350","occ","","","120228","Axelia robusta","species","204786","","Axelia robusta","species","204786","Smithian","","249.9","248.1","38416","Chordata","Coelacanthimorpha","Coelacanthiformes","Whiteiidae","Axelia","652"
"995351","occ","","","120296","Axelia robusta","species","204786","","Axelia robusta","species","204786","Smithian","","249.9","248.1","38416","Chordata","Coelacanthimorpha","Coelacanthiformes","Whiteiidae","Axelia","652"
"995352","occ","","","120297","Axelia robusta","species","204786","","Axelia robusta","species","204786","Smithian","","249.9","248.1","38416","Chordata","Coelacanthimorpha","Coelacanthiformes","Whiteiidae","Axelia","652"
"995354","occ","","","120228","Mylacanthus n. sp. lobatus","species","204788","","Mylacanthus lobatus","species","204788","Smithian","","249.9","248.1","38416","Chordata","Coelacanthimorpha","Coelacanthiformes","Coelacanthidae","Mylacanthus","652"
"995355","occ","","","120298","Mylacanthus lobatus","species","204788","","Mylacanthus lobatus","species","204788","Smithian","","249.9","248.1","38416","Chordata","Coelacanthimorpha","Coelacanthiformes","Coelacanthidae","Mylacanthus","652"
"995357","occ","","","120228","Mylacanthus spinosus","species","204789","","Mylacanthus spinosus","species","204789","Smithian","","249.9","248.1","38416","Chordata","Coelacanthimorpha","Coelacanthiformes","Coelacanthidae","Mylacanthus","652"
"995359","occ","","","120232","Scleracanthus asper","species","204790","","Scleracanthus asper","species","204790","Smithian","","249.9","248.1","38416","Chordata","Coelacanthimorpha","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Scleracanthus","652"
"995360","occ","","","120228","Scleracanthus asper","species","204790","","Scleracanthus asper","species","204790","Smithian","","249.9","248.1","38416","Chordata","Coelacanthimorpha","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Scleracanthus","652"
"995748","occ","","","120366","Wimania sinuosa","species","204782","","Wimania sinuosa","species","204782","Smithian","","249.9","248.1","38416","Chordata","Coelacanthimorpha","Coelacanthiformes","Whiteiidae","Wimania","652"
"995749","occ","","","120228","Wimania sinuosa","species","204782","","Wimania sinuosa","species","204782","Smithian","","249.9","248.1","38416","Chordata","Coelacanthimorpha","Coelacanthiformes","Whiteiidae","Wimania","652"
"995750","occ","","","120231","Wimania ? sp.","genus","34960","","Wimania","genus","34960","Smithian","","249.9","248.1","38416","Chordata","Coelacanthimorpha","Coelacanthiformes","Whiteiidae","Wimania","652"
