"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","cx_int_no"
"85937","occ","","","6212","Pericyclus (Goniocyclus) blairi","species","297943","","Pericyclus (Goniocyclus) blairi","species","278402","Kinderhookian","Ivorian","358.9","346.7","392","55"
"85938","occ","","","6213","Imitoceras ? sp.","genus","13743","","Imitoceras","genus","13743","Kinderhookian","Ivorian","358.9","346.7","392","55"
"85939","occ","","","6213","Pericyclus (Goniocyclus) blairi","species","297943","","Pericyclus (Goniocyclus) blairi","species","278402","Kinderhookian","Ivorian","358.9","346.7","392","55"
"85940","occ","","","6214","Pericyclus (Goniocyclus) blairi","species","297943","","Pericyclus (Goniocyclus) blairi","species","278402","Kinderhookian","Ivorian","358.9","346.7","392","55"
"85941","occ","","","6215","Imitoceras sp.","genus","13743","","Imitoceras","genus","13743","Kinderhookian","Ivorian","358.9","346.7","392","55"
"85942","occ","","","6215","Gattendorfia (Gattendorfia) costata","species","297941","","Gattendorfia (Gattendorfia) costata","species","297940","Kinderhookian","Ivorian","358.9","346.7","392","55"
"85943","occ","","","6215","Pericyclus (Goniocyclus) n. sp. rockymontanus","species","297949","","Pericyclus (Goniocyclus) rockymontanus","species","297949","Kinderhookian","Ivorian","358.9","346.7","392","55"
"85944","occ","","","6215","Rotopericyclus (Hammatocyclus) sp.","subgenus","297954","obsolete variant of","Hammatocyclus","genus","13732","Kinderhookian","Ivorian","358.9","346.7","392","55"
"85948","occ","","","6219","Gattendorfia ? sp.","genus","13720","","Gattendorfia","genus","13720","Kinderhookian","Ivorian","358.9","346.7","392","55"
"85949","occ","","","6220","Gattendorfia sp.","genus","13720","","Gattendorfia","genus","13720","Kinderhookian","Ivorian","358.9","346.7","392","55"
"85950","occ","","","6220","Gattendorfia ? sp.","genus","13720","","Gattendorfia","genus","13720","Kinderhookian","Ivorian","358.9","346.7","392","55"
"85951","occ","","","6220","Pericyclus (Goniocyclus) sp.","subgenus","297942","","Pericyclus (Goniocyclus)","subgenus","297942","Kinderhookian","Ivorian","358.9","346.7","392","55"
"85952","occ","","","6220","Rotopericyclus (Hammatocyclus) n. sp. brazerensis","species","297955","recombined as","Hammatocyclus brazerensis","species","297955","Kinderhookian","Ivorian","358.9","346.7","392","55"
"85953","occ","","","6221","Gattendorfia sp.","genus","13720","","Gattendorfia","genus","13720","Kinderhookian","Ivorian","358.9","346.7","392","55"
"85954","occ","","","6222","Rotopericyclus (Hammatocyclus) n. sp. brazerensis","species","297955","recombined as","Hammatocyclus brazerensis","species","297955","Kinderhookian","Ivorian","358.9","346.7","392","55"
