"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","cx_int_no"
"566788","occ","40133","","59341","Ceratodus africanus","species","108906","recombined as","Neoceratodus africanus","species","108906","Cenomanian","","100.5","93.9","82692","Chordata","Osteichthyes","Dipnoi","Neoceratodontidae","Neoceratodus","117"
"566818","occ","","","59355","Neoceratodus sp.","genus","91691","","Neoceratodus","genus","91691","Early Cretaceous","Aptian","143.1","113.2","17005","Chordata","Osteichthyes","Dipnoi","Neoceratodontidae","Neoceratodus","40"
"567483","occ","","","59578","Ceratodus africanus","species","108906","recombined as","Neoceratodus africanus","species","108906","Late Albian","Early Cenomanian","106.3","93.9","17062","Chordata","Osteichthyes","Dipnoi","Neoceratodontidae","Neoceratodus","14"
"569335","occ","","","59777","Ceratodus sp.","genus","54495","","Ceratodus","genus","54495","Early Cenomanian","","100.5","93.9","17122","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","117"
"584190","occ","","","52865","Ceratodus sp.","genus","54495","","Ceratodus","genus","54495","Late Aptian","","119.57","113.2","17724","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","119"
"584311","occ","38774","","61448","Ceratodus ? silesiacus","species","438045","","Ceratodus silesiacus","species","438045","Carnian","Norian","237","205.7","27876","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","44"
"587348","occ","33165","","61891","Ferganoceratodus sp.","genus","197863","","Ferganoceratodus","genus","197863","Bathonian","","168.2","165.3","61822","Chordata","Osteichthyes","Dipnoi","NO_FAMILY_SPECIFIED","Ferganoceratodus","128"
"587954","occ","","","46545","Ferganoceratodus jurassicus","species","197865","","Ferganoceratodus jurassicus","species","197865","Callovian","","165.3","161.5","17892","Chordata","Osteichthyes","Dipnoi","NO_FAMILY_SPECIFIED","Ferganoceratodus","127"
"587957","occ","","","46549","Ferganoceratodus jurassicus","species","197865","","Ferganoceratodus jurassicus","species","197865","Callovian","","165.3","161.5","17892","Chordata","Osteichthyes","Dipnoi","NO_FAMILY_SPECIFIED","Ferganoceratodus","127"
"587960","occ","","","47056","Ceratodontidae indet.","family","57670","","Ceratodontidae","family","57670","Late Oxfordian","Kimmeridgian","157.9","149.2","17892","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","",""
"624184","occ","","","67203","Neoceratodus africanus","species","91693","","Neoceratodus africanus","species","108906","Late Aptian","Early Albian","119.57","110.1","19183","Chordata","Osteichthyes","Dipnoi","Neoceratodontidae","Neoceratodus","40"
"631437","occ","","","67945","Gnathorhiza serrata","species","90710","","Gnathorhiza serrata","species","90710","Kungurian","","283.3","274.4","19411","Chordata","Osteichthyes","Dipnoi","Gnathorhizidae","Gnathorhiza","148"
"635048","occ","","","68318","Tranodis sp.","genus","377343","","Tranodis","genus","377343","Asbian","","339.9","335.9","19656","Chordata","Osteichthyes","Ctenodontiformes","Ctenodontidae","Tranodis","54"
"635055","occ","18867","","68319","Tranodis castrensis","species","391445","","Tranodis castrensis","species","391445","Arnsbergian","","326.9","323.6","19655","Chordata","Osteichthyes","Ctenodontiformes","Ctenodontidae","Tranodis","53"
"638865","occ","","","51235","Ceratodus parvus","species","210021","","Ceratodus parvus","species","210021","Rhaetian","","205.7","201.4","19839","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","135"
"639027","occ","","","68775","Dipnoi indet.","order","57668","","Dipnoi","order","57668","Tortonian","","11.63","7.246","19849","Chordata","Osteichthyes","Dipnoi","","","99"
"700329","occ","","","75235","Ceratodus africanus","species","108906","recombined as","Neoceratodus africanus","species","108906","Late Cretaceous","","100.5","66","25402","Chordata","Osteichthyes","Dipnoi","Neoceratodontidae","Neoceratodus","39"
"700330","occ","","","75235","Ceratodus humei","species","57230","","Ceratodus humei","species","57230","Late Cretaceous","","100.5","66","25402","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","39"
"700331","occ","","","75235","Ceratodus sp.","genus","54495","","Ceratodus","genus","54495","Late Cretaceous","","100.5","66","25402","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","39"
"700338","occ","","","75238","Ceratodus humei","species","57230","","Ceratodus humei","species","57230","Late Cretaceous","","100.5","66","25402","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","39"
"700339","occ","","","75238","Ceratodus africanus","species","108906","recombined as","Neoceratodus africanus","species","108906","Late Cretaceous","","100.5","66","25402","Chordata","Osteichthyes","Dipnoi","Neoceratodontidae","Neoceratodus","39"
"700343","occ","","","75242","Ceratodus humei","species","57230","","Ceratodus humei","species","57230","Late Cretaceous","","100.5","66","25402","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","39"
"700396","occ","","","75263","cf. Ceratodus sp.","genus","54495","","Ceratodus","genus","54495","Hettangian","Sinemurian","201.4","192.9","25375","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","43"
"751976","occ","","","12816","Ceratodus sp.","genus","54495","","Ceratodus","genus","54495","Kimmeridgian","Tithonian","154.8","143.1","10663","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","41"
"775797","occ","","","57000","cf. Neoceratodus sp.","genus","91691","","Neoceratodus","genus","91691","Late Campanian","Early Maastrichtian","83.6","66","27962","Chordata","Osteichthyes","Dipnoi","Neoceratodontidae","Neoceratodus","39"
"786932","occ","","","79531","Gnathorhiza serrata","species","90710","","Gnathorhiza serrata","species","90710","Kungurian","","283.3","274.4","26635","Chordata","Osteichthyes","Dipnoi","Gnathorhizidae","Gnathorhiza","148"
"787455","occ","","","79402","Gnathorhiza cf. serrata","species","90710","","Gnathorhiza serrata","species","90710","Artinskian","","290.1","283.3","28557","Chordata","Osteichthyes","Dipnoi","Gnathorhizidae","Gnathorhiza","149"
"787525","occ","","","84941","Gnathorhiza serrata","species","90710","","Gnathorhiza serrata","species","90710","Leonardian","","286","274.4","26635","Chordata","Osteichthyes","Dipnoi","Gnathorhizidae","Gnathorhiza","773"
"789043","occ","","","85301","Sagenodus sp.","genus","137509","","Sagenodus","genus","137509","Artinskian","Kungurian","290.1","274.4","28758","Chordata","Osteichthyes","Dipnoi","Sagenodontidae","Sagenodus","773"
"789045","occ","","","85300","Gnathorhiza sp.","genus","90709","","Gnathorhiza","genus","90709","Artinskian","Kungurian","290.1","274.4","28758","Chordata","Osteichthyes","Dipnoi","Gnathorhizidae","Gnathorhiza","773"
"789050","occ","","","85299","Gnathorhiza sp.","genus","90709","","Gnathorhiza","genus","90709","Artinskian","Kungurian","290.1","274.4","28758","Chordata","Osteichthyes","Dipnoi","Gnathorhizidae","Gnathorhiza","773"
"790086","occ","","","85500","Dipnoi indet.","order","57668","","Dipnoi","order","57668","Norian","Rhaetian","227.3","201.4","28888","Chordata","Osteichthyes","Dipnoi","","","44"
"790499","occ","","","11165","Sagenodus sp.","genus","137509","","Sagenodus","genus","137509","Asselian","Sakmarian","298.9","290.1","4113","Chordata","Osteichthyes","Dipnoi","Sagenodontidae","Sagenodus","773"
"793010","occ","","","85081","cf. Metaceratodus sp.","genus","140023","","Metaceratodus","genus","140023","Late Campanian","Early Maastrichtian","83.6","66","28583","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Metaceratodus","39"
